kegg_annotation_id	name	definition	pathway	module
K09072	MSC	musculin (activated B-cell factor-1)		
K09073	PTF1A	pancreas-specific transcription factor 1a		
K09074	TYE7	fungal twist-like factor		
K09075	NHLH, HEN, NSCL	nescient helix-loop-helix protein		
K09076	MESP	mesoderm posterior		
K09078	NEUROD2	neurogenic differentiation factor 2		
K09079	NEUROD4, ATOH3, MATH3	neurogenic differentiation factor 4		
K09080	NEUROD6, ATOH2, MATH2	neurogenic differentiation factor 6		
K09081	NEUROG1	neurogenin 1	ko04550  Signaling pathways regulating pluripotency of stem cells	
K09082	NEUROG2	neurogenin 2		
K09083	ATOH1_7	atonal protein 1/7		
K09084	ATOH8	atonal protein 8		
K09085	BHLHB1_6_7	class B basic helix-loop-helix protein 1/6/7		
K09086	BHLHB4_5, BETA	class B basic helix-loop-helix protein 4/5		
K09087	HES2_6_7	hairy and enhancer of split 2/6/7	ko05165  Human papillomavirus infection	
K09088	HES3	hairy and enhancer of split 3	ko05165  Human papillomavirus infection	
K09089	HES4	hairy and enhancer of split 4	ko05165  Human papillomavirus infection	
K09090	HESN	hairy and enhancer of split, invertebrate		
K09091	HEY	hairy and enhancer of split related with YRPW motif	ko05165  Human papillomavirus infection	
K09092	TCFL5, CHA	transcription factor-like 5		
K09093	AHR	aryl hydrocarbon receptor	ko04659  Th17 cell differentiation	
K09094	AHRR, AHH	aryl hydrocarbon receptor repressor		
K09095	HIF2A, EPAS1	hypoxia-inducible factor 2 alpha	ko05200  Pathways in cancer	
K09096	HIF3A	hypoxia-inducible factor 3 alpha		
K09097	ARNT	aryl hydrocarbon receptor nuclear translocator	ko04066  HIF-1 signaling pathway	
K09098	NPAS1_3	neuronal PAS domain-containing protein 1/3		
K09099	ARNTL2, BMAL2	aryl hydrocarbon receptor nuclear translocator-like protein 2		
K09100	SIM	single-minded		
K09101	NCOA1, SRC1, KAT13A	nuclear receptor coactivator 1 [EC:2.3.1.48]	ko04919  Thyroid hormone signaling pathway	
K09102	INO	heteromeric Ino2p/Ino4p transcription factor		
K09103	EBF, COE	early B-cell factor		
K09104	K09104	bHLH factor, other		
K09105	TFE3	transcription factor E3	ko04137  Mitophagy - animal	
K09106	USF	upstream stimulatory factor		
K09107	SREBP2, SREBF2	sterol regulatory element-binding transcription factor 2		
K09108	TFAP4	transcription factor AP-4	ko05205  Proteoglycans in cancer	
K09109	NMYC, MYCN	N-myc proto-oncogene protein	ko05202  Transcriptional misregulation in cancer	
K09110	LMYC, MYCL	L-myc proto-oncogene protein		
K09112	SMYC, MYCS	myc-like oncogene		
K09113	MLX	MAX-like protein X	ko04931  Insulin resistance	
K09114	MXD, MAD	MAX dimerization protein		
K09115	MNT, ROX	MAX-binding protein		
K09116	K09116	uncharacterized protein		
K09117	K09117	uncharacterized protein		
K09118	K09118	uncharacterized protein		
K09119	cgi121	KEOPS complex subunit Cgi121		
K09120	K09120	uncharacterized protein		
K09121	K09121	uncharacterized protein		
K09122	K09122	uncharacterized protein		
K09123	K09123	uncharacterized protein		
K09124	K09124	uncharacterized protein		
K09125	K09125	uncharacterized protein		
K09126	K09126	uncharacterized protein		
K09127	cmr3	CRISPR-associated protein Cmr3		
K09128	K09128	uncharacterized protein		
K09129	K09129	uncharacterized protein		
K09130	K09130	uncharacterized protein		
K09131	K09131	uncharacterized protein		
K09132	K09132	uncharacterized protein		
K09133	K09133	uncharacterized protein		
K09134	flA	adenosyl-fluoride synthase [EC:2.5.1.63]		
K09135	K09135	uncharacterized protein		
K09136	ycaO	ribosomal protein S12 methylthiotransferase accessory factor		
K09137	K09137	uncharacterized protein		
K09138	K09138	uncharacterized protein		
K09139	K09139	uncharacterized protein		
K09140	TSR3	pre-rRNA-processing protein TSR3		
K09141	K09141	uncharacterized protein		
K09142	K09142	uncharacterized protein		
K09143	K09143	uncharacterized protein		
K09144	K09144	uncharacterized protein		
K09145	K09145	uncharacterized protein		
K09146	K09146	uncharacterized protein		
K09147	K09147	uncharacterized protein		
K09148	K09148	uncharacterized protein		
K09149	K09149	uncharacterized protein		
K09150	K09150	uncharacterized protein		
K09152	K09152	uncharacterized protein		
K09153	K09153	uncharacterized protein		
K09154	K09154	uncharacterized protein		
K09155	K09155	uncharacterized protein		
K09156	cheF	taxis protein CheF		
K09157	K09157	uncharacterized protein		
K09158	K09158	uncharacterized protein		
K09159	cptB	antitoxin CptB		
K09160	K09160	uncharacterized protein		
K09161	K09161	uncharacterized protein		
K09162	cld	chlorite dismutase [EC:1.13.11.49]		
K09163	K09163	uncharacterized protein		
K09164	K09164	uncharacterized protein		
K09165	K09165	uncharacterized protein		
K09166	K09166	uncharacterized protein		
K09167	K09167	uncharacterized protein		
K09168	NFIA	nuclear factor I/A		
K09169	NFIB	nuclear factor I/B		
K09170	NFIC	nuclear factor I/C		
K09171	NFIX	nuclear factor I/X		
K09172	NFIN	nuclear factor I, invertebrate		
K09173	RFX1_2_3	regulatory factor X 1/2/3		
K09174	RFX4	regulatory factor X 4		
K09175	RFXX	regulatory factor X, other	ko04111  Cell cycle - yeast	
K09176	TFAP2A_B	transcription factor AP-2 alpha/beta		
K09177	TFAP2C	transcription factor AP-2 gamma		
K09178	TFAP2D	transcription factor AP-2 delta		
K09179	TFAP2E	transcription factor AP-2 epsilon		
K09180	TFAP2N	transcription factor AP-2, invertebrate		
K09181	yfiQ	acetyltransferase		
K09182	GATA1	GATA-binding protein 1		
K09183	GATA4	GATA-binding protein 4	ko04022  cGMP-PKG signaling pathway	
K09184	GATAF	GATA-binding protein, other eukaryote		
K09185	NR6AN	nuclear receptor subfamily 6 group A		
K09186	MLL1	histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]	ko00310  Lysine degradation	
K09187	MLL2, ALR	histone-lysine N-methyltransferase MLL2 [EC:2.1.1.43]	ko00310  Lysine degradation	
K09188	MLL3	histone-lysine N-methyltransferase MLL3 [EC:2.1.1.43]	ko00310  Lysine degradation	
K09189	MLL5	histone-lysine N-methyltransferase MLL5 [EC:2.1.1.43]	ko00310  Lysine degradation	
K09190	K09190	uncharacterized protein		
K09191	GTF3A	general transcription factor IIIA		
K09192	SP2	transcription factor Sp2		
K09193	SP3	transcription factor Sp3		
K09194	SP4	transcription factor Sp4		
K09195	SP5	transcription factor Sp5		
K09196	SP6	transcription factor Sp6		
K09197	SP7	transcription factor Sp7		
K09198	SP8	transcription factor Sp8		
K09199	SP9	transcription factor Sp9		
K09200	SP-N	transcription factor Sp, invertebrate		
K09201	YY	transcription factor YY		
K09202	SWI5	regulatory protein SWI5	ko04111  Cell cycle - yeast	
K09203	EGR1	early growth response protein 1	ko04371  Apelin signaling pathway	
K09204	KLF1	krueppel-like factor 1		
K09205	KLF8_12	krueppel-like factor 8/12		
K09206	KLF5	krueppel-like factor 5		
K09207	KLF6_7	krueppel-like factor 6/7		
K09208	KLF9S, BTEB	krueppel-like factor 9/13/14/16		
K09209	KLF10_11, TIEG	krueppel-like factor 10/11		
K09210	KLF15	krueppel-like factor 15		
K09211	KLF17	krueppel-like factor 17		
K09212	KLFN	krueppel-like factor, other		
K09213	HB	hunchback		
K09214	GL	glass		
K09215	OSR, ODD	odd-skipped		
K09216	OVOL	ovo		
K09217	SNAI3	snail 3		
K09218	SNAIN	snail, invertebrate		
K09219	SCRT	scratch		
K09220	IKZF, ZNFN1A	IKAROS family zinc finger protein		
K09221	MZF1	myeloid zinc finger protein 1		
K09222	REST	RE1-silencing transcription factor	ko04550  Signaling pathways regulating pluripotency of stem cells	
K09223	GFI1	growth factor independent 1		
K09224	ZIC1	zinc finger protein ZIC 1		
K09225	ZIC4	zinc finger protein ZIC 4		
K09226	ZIC5	zinc finger protein ZIC 5		
K09227	ZICN	zinc finger protein ZIC, invertebrate		
K09228	KRAB	KRAB domain-containing zinc finger protein		
K09229	ZKSCAN	KRAB and SCAN domains-containing zinc finger protein		
K09230	SCAN	SCAN domain-containing zinc finger protein		
K09231	KR	krueppel-like family, other		
K09232	GLIS1_3	zinc finger protein GLIS1/3		
K09233	GLIS2	zinc finger protein GLIS2		
K09234	WT1	Wilms tumor protein 1	ko05202  Transcriptional misregulation in cancer	
K09235	RME1	zinc finger protein RME1	ko04113  Meiosis - yeast	
K09236	TSHZ	teashirt	ko04391  Hippo signaling pathway - fly	
K09237	TTK	tramtrack	ko04013  MAPK signaling pathway - fly	
K09238	ACE2	metallothionein expression activator		
K09239	HIVEP	human immunodeficiency virus type I enhancer-binding protein		
K09240	CAT8	transcriptional regulatory protein CAT8		
K09241	GAL4	transcriptional regulatory protein GAL4		
K09242	LEU3	transcriptional regulatory protein LEU3		
K09243	UME6	transcriptional regulatory protein UME6	ko04113  Meiosis - yeast	
K09244	AMDR	transcriptional regulatory protein AMDR		
K09245	UGA3	transcriptional activator protein UGA3		
K09246	ARG81, ARGR2	arginine metabolism regulation protein II		
K09247	CYP1, HAP1	heme activator protein 1		
K09248	PUT3	proline utilization trans-activator		
K09249	ABF1, BAF1	ARS-binding factor 1		M00692  Cell cycle - G1/S transition
K09250	CNBP	cellular nucleic acid-binding protein		
K09251	patA	putrescine aminotransferase [EC:2.6.1.82]	ko00330  Arginine and proline metabolism	
K09252	FAEB	feruloyl esterase [EC:3.1.1.73]		
K09253	RELB	transcription factor RelB	ko04010  MAPK signaling pathway	
K09254	REL	c-Rel proto-oncogene protein	ko04014  Ras signaling pathway	
K09256	NFKBIL1	NF-kappa-B inhibitor-like protein 1		
K09257	NFKBIL2	NF-kappa-B inhibitor-like protein 2		
K09258	BCL3	B-cell CLL/lymphoma protein 3	ko04668  TNF signaling pathway	
K09260	MEF2A	MADS-box transcription enhancer factor 2A	ko04013  MAPK signaling pathway - fly	
K09261	MEF2B	MADS-box transcription enhancer factor 2B	ko04022  cGMP-PKG signaling pathway	
K09262	MEF2D	MADS-box transcription enhancer factor 2D	ko04022  cGMP-PKG signaling pathway	
K09264	K09264	MADS-box transcription factor, plant		
K09265	RLM1	transcription factor RLM1	ko04011  MAPK signaling pathway - yeast	
K09266	SRY	sex-determining region Y protein (SOX group A)		
K09267	SOX1S	transcription factor SOX1/3/14/21 (SOX group B)		
K09268	SOX4_11_12	transcription factor SOX4/11/12 (SOX group C)		
K09269	SOX5_6_13	transcription factor SOX5/6/13 (SOX group D)		
K09270	SOX7S	transcription factor SOX7/8/10/18 (SOX group E/F)		
K09271	SOX15_30	transcription factor SOX15/30		
K09272	SSRP1	structure-specific recognition protein 1		
K09273	UBTF	upstream-binding transcription factor		
K09274	K09274	HMG box factor, other		
K09275	TFCP2	transcription factor CP2 and related proteins		
K09276	YBX1, NSEP1	Y-box-binding protein 1		
K09277	YBX2	Y-box-binding protein 2		
K09278	RUNX2, AML3	runt-related transcription factor 2	ko05202  Transcriptional misregulation in cancer	
K09279	RUNX3, AML2	runt-related transcription factor 3	ko04658  Th1 and Th2 cell differentiation	
K09280	RUNXA_B	runt-related transcription factor		
K09282	HMGA1	high mobility group AT-hook protein 1		
K09283	HMGA2	high mobility group AT-hook protein 2	ko05202  Transcriptional misregulation in cancer	
K09284	AP2	AP2-like factor, euAP2 lineage		
K09285	OVM, ANT	AP2-like factor, ANT lineage		
K09286	EREBP	EREBP-like factor		
K09287	RAV	RAV-like factor		
K09288	CCDC6, PTC	coiled-coil domain-containing protein 6	ko05200  Pathways in cancer	
K09289	NCOA4, PTC3	nuclear receptor coactivator 4	ko04216  Ferroptosis	
K09290	TPM3	tropomyosin 3	ko04260  Cardiac muscle contraction	
K09291	TPR, MLP1, MLP2	nucleoprotein TPR	ko03013  RNA transport	M00427  Nuclear pore complex
K09292	TFG	protein TFG	ko05200  Pathways in cancer	
K09293	PAX8	paired box protein 8	ko04918  Thyroid hormone synthesis	
K09294	HOX_9	homeobox protein HoxB/C/D9		
K09295	HOXD10	homrobox protein Hox-D10	ko05205  Proteoglycans in cancer	
K09296	HOX_11	homeobox protein HoxC/D11		
K09297	HOX_12	homeobox protein HoxC/D12		
K09298	HOX_13	homeobox protein HoxA/C/D13		
K09299	ZEB1_2	zinc finger homeobox protein 1/2	ko05206  MicroRNAs in cancer	
K09300	ABDB	homeobox protein abdominal-B and related proteins		
K09301	HOX_1	homeobox protein HoxA/B/D1		
K09302	HOX_2	homeobox protein HoxA/B2		
K09303	HOX_3	homeobox protein HoxA/B/D3		
K09304	HOX_4	homeobox protein HoxA/B/C/D4		
K09305	HOX_5	homeobox protein HoxA/B/C5		
K09306	HOX_6	homeobox protein HoxA/B/C6		
K09307	HOX_7	homeobox protein HoxA/B7		
K09308	HOX_8	homeobox protein HoxB/C/D8		
K09309	NKX1	homeobox protein Nkx-1		
K09310	GSH	homeobox protein GSH		
K09311	ANTP	Antp family, other		
K09312	CDX1_4	homeobox protein CDX1/4		
K09313	CUTL	homeobox protein cut-like		
K09314	DLX1_4_6	homeobox protein DLX1/4/6		
K09315	DLX3	homeobox protein DLX3		
K09317	EMX	homeobox protein EMX		
K09318	VAX	homeobox protein ventral anterior		
K09319	EN	homeobox protein engrailed	ko04341  Hedgehog signaling pathway - fly	
K09320	EVX	homeobox even-skipped homolog protein		
K09321	GBX	homeobox protein GBX		
K09322	MEOX, MOX	homeobox protein MOX		
K09323	ALX3	homeobox protein aristaless-like 3		
K09324	GSC	homeobox protein goosecoid		
K09325	GSCL	homeobox protein goosecoid-like		
K09326	OTX1	homeobox protein OTX1	ko04550  Signaling pathways regulating pluripotency of stem cells	
K09327	PROP1	homeobox protein prophet of Pit-1		
K09328	UNC4	homeobox protein Unc-4		
K09329	PRRX, PMX	paired mesoderm homeobox protein		
K09330	PHOX2, PMX2	paired mesoderm homeobox protein 2		
K09331	SHOX	short stature homeobox protein		
K09332	RAX, RX	retina and anterior neural fold homeobox protein		
K09333	RAXL	retina and anterior neural fold homeobox-like protein		
K09334	CART1	cartilage homeoprotein 1		
K09335	VSX1	visual system homeobox protein 1		
K09336	VSX2, CHX10	visual system homeobox protein 2		
K09337	CRX	cone-rod homeobox protein		
K09338	HD-ZIP	homeobox-leucine zipper protein		
K09339	HLX1	homeobox protein HLX1		
K09340	TLX1, HOX11	T-cell leukemia homeobox protein 1	ko05202  Transcriptional misregulation in cancer	
K09341	MSX	homeobox protein MSX	ko05166  HTLV-I infection	
K09342	NKX2-1, TITF1	homeobox protein Nkx-2.1		
K09343	NKX2-3	homeobox protein Nkx-2.3		
K09344	NKX2-4	homeobox protein Nkx-2.4		
K09345	NKX2-5	homeobox protein Nkx-2.5		
K09346	NKX2-6	homeobox protein Nkx-2.6		
K09347	NKX2-8	homeobox protein Nkx-2.8		
K09348	NKX3-1	homeobox protein Nkx-3.1	ko05200  Pathways in cancer	
K09349	NKX5, HMX	homeobox protein Nkx-5		
K09350	NKX6-2	homeobox protein Nkx-6.2		
K09351	NKX6-3	homeobox protein Nkx-6.3		
K09352	NKXN	homeobox protein Nkx, invertebrate		
K09353	LBX	homeobox protein LBX		
K09354	HESX1	homeobox protein expressed in ES cells 1	ko04550  Signaling pathways regulating pluripotency of stem cells	
K09355	PBX1	pre-B-cell leukemia transcription factor 1	ko05202  Transcriptional misregulation in cancer	
K09356	PITX1	paired-like homeodomain transcription factor 1		
K09357	PITX3	paired-like homeodomain transcription factor 3		
K09360	BARHL	BarH-like		
K09361	BARX	BarH-like homeobox		
K09362	K09362	homeo domain only family, other		
K09363	POU1F, PIT1	POU domain transcription factor, class 1		
K09364	POU2F, OTF	POU domain transcription factor, class 2		
K09365	POU3F, OTF	POU domain transcription factor, class 3		
K09366	POU4F, BRN3	POU domain transcription factor, class 4		
K09367	POU5F	POU domain transcription factor, class 5	ko04550  Signaling pathways regulating pluripotency of stem cells	
K09368	POU6F	POU domain transcription factor, class 6		
K09370	ISL1	insulin gene enhancer protein ISL-1	ko04550  Signaling pathways regulating pluripotency of stem cells	
K09371	LMX1	LIM homeobox transcription factor 1		
K09372	LHX1	LIM homeobox protein 1		
K09373	LHX2_9	LIM homeobox protein 2/9		
K09374	LHX3_4	LIM homeobox protein 3/4		
K09375	LHX6_8	LIM homeobox protein 6/8		
K09377	CSRP	cysteine and glycine-rich protein		
K09378	ATBF1	AT-binding transcription factor 1	ko04550  Signaling pathways regulating pluripotency of stem cells	
K09379	ZFHX2	zinc finger homeobox protein 2		
K09380	ZFHX4	zinc finger homeobox protein 4		
K09381	PAX3_7	paired box protein 3/7		
K09382	PAX1_9	paired box protein 1/9		
K09383	PAX5	paired box protein 5	ko05202  Transcriptional misregulation in cancer	
K09384	K09384	uncharacterized protein		
K09385	FOXG	forkhead box protein G	ko04068  FoxO signaling pathway	
K09386	K09386	uncharacterized protein		
K09387	FOXA1, HNF3A	forkhead box protein A1, hepatocyte nuclear factor 3-alpha		
K09388	K09388	uncharacterized protein		
K09389	E2F2	transcription factor E2F2	ko01522  Endocrine resistance	M00692  Cell cycle - G1/S transition
K09390	E2F6	transcription factor E2F6		
K09391	E2F7_8	transcription factor E2F7/8		
K09392	TFDP2	transcription factor Dp-2	ko04110  Cell cycle	
K09393	TFDP3	transcription factor Dp-3		
K09394	TFDPN	transcription factor Dp, invertebrate		
K09395	FOXB	forkhead box protein B		
K09396	FOXC	forkhead box protein C		
K09397	FOXD	forkhead box protein D		
K09398	FOXE	forkhead box protein E		
K09399	FOXF	forkhead box protein F		
K09400	FOXH	forkhead box protein H		
K09401	FOXI	forkhead box protein I		
K09402	FOXJ1	forkhead box protein J1		
K09403	FOXJ2_3	forkhead box protein J2/3		
K09404	FOXK	forkhead box protein K		
K09405	FOXL	forkhead box protein L		
K09406	FOXM	forkhead box protein M	ko04218  Cellular senescence	
K09407	FOXN	forkhead box protein N		
K09408	FOXO3	forkhead box protein O3	ko01521  EGFR tyrosine kinase inhibitor resistance	M00676  PI3K-Akt signaling
K09409	FOXP	forkhead box protein P		
K09410	FOXQ, HFH1	forkhead box protein Q		
K09411	FOXX	forkhead box protein, other		
K09412	FKHL18	forkhead-like 18 protein		
K09413	HCM1	forkhead transcription factor HCM1		
K09414	HSF1	heat shock transcription factor 1	ko04212  Longevity regulating pathway - worm	
K09415	HSF2	heat shock transcription factor 2		
K09416	HSF3	heat shock transcription factor 3		
K09417	HSF4	heat shock transcription factor 4		
K09419	HSFF	heat shock transcription factor, other eukaryote		
K09420	MYB, C-MYB	transcriptional activator Myb	ko04151  PI3K-Akt signaling pathway	
K09421	MYBL1, A-MYB	myb-related protein A		
K09422	MYBP	transcription factor MYB, plant		
K09423	BAS1	Myb-like DNA-binding protein BAS1		
K09424	REB1	Myb-like DNA-binding protein REB1		
K09425	K09425	Myb-like DNA-binding protein FlbD		
K09426	RAP1	Myb-like DNA-binding protein RAP1		
K09428	ELF1_2_4	E74-like factor 1/2/4	ko04214  Apoptosis - fly	
K09429	K09429, ELF3	E74-like factor 3		
K09430	ELK3	ETS domain-containing protein Elk-3 (SRF accessory protein 2)		
K09431	ETV1	ets translocation variant 1	ko05202  Transcriptional misregulation in cancer	
K09432	ETV2, ER71	ETS translocation variant 2		
K09433	ETV3	ETS translocation variant 3		
K09434	ERF	ETS domain-containing transcription factor ERF		
K09435	ERG	transcriptional regulator ERG	ko05202  Transcriptional misregulation in cancer	
K09436	FLI1	friend leukemia integration 1 transcription factor	ko05202  Transcriptional misregulation in cancer	
K09437	FEV	ETS oncogene family protein FEV	ko05202  Transcriptional misregulation in cancer	
K09438	SPI1	transcription factor PU.1	ko04380  Osteoclast differentiation	
K09439	SPIB	transcription factor Spi-B		
K09440	SPIC	transcription factor Spi-C		
K09441	GABPA	GA-binding protein transcription factor, alpha		
K09442	SPDEF	SAM pointed domain-containing ETS transcription factor		
K09443	K09443	ETS-type family, other		
K09444	IRF1	interferon regulatory factor 1	ko04917  Prolactin signaling pathway	
K09445	IRF4	interferon regulatory factor 4	ko04659  Th17 cell differentiation	
K09446	IRF5	interferon regulatory factor 5	ko04620  Toll-like receptor signaling pathway	
K09447	IRF7	interferon regulatory factor 7	ko04620  Toll-like receptor signaling pathway	
K09448	TEAD	transcriptional enhancer factor	ko04011  MAPK signaling pathway - yeast	M00683  Hippo signaling
K09451	ALX4	homeobox protein aristaless-like 4		
K09452	ARX	homeobox protein aristaless-related		
K09453	SNAPC4	snRNA-activating protein complex subunit 4		
K09454	GABPB	GA-binding protein transcription factor, beta		
K09455	MITF	microphthalmia-associated transcription factor	ko04137  Mitophagy - animal	
K09456	aidB	putative acyl-CoA dehydrogenase		
K09457	queF	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	ko00790  Folate biosynthesis	
K09458	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	ko00061  Fatty acid biosynthesis	M00083  Fatty acid biosynthesis, elongation
K09459	E4.1.1.82	phosphonopyruvate decarboxylase [EC:4.1.1.82]	ko00440  Phosphonate and phosphinate metabolism	
K09461	E1.14.13.40	anthraniloyl-CoA monooxygenase [EC:1.14.13.40]	ko00627  Aminobenzoate degradation	
K09463	KLK13	kallikrein 13 [EC:3.4.21.119]		
K09464	GCN4	general control protein GCN4	ko04138  Autophagy - yeast	
K09466	ADR1	zinc finger protein ADR1		
K09467	MIG	zinc-finger protein CreA/MIG		
K09468	MSN2_4	zinc finger protein MSN2/4	ko04011  MAPK signaling pathway - yeast	
K09469	aepZ	2-aminoethylphosphonate-pyruvate transaminase	ko01100  Metabolic pathways	
K09470	puuA	gamma-glutamylputrescine synthase [EC:6.3.1.11]	ko00330  Arginine and proline metabolism	M00136  GABA biosynthesis, prokaryotes, putrescine => GABA
K09471	puuB, ordL	gamma-glutamylputrescine oxidase [EC:1.4.3.-]	ko00330  Arginine and proline metabolism	M00136  GABA biosynthesis, prokaryotes, putrescine => GABA
K09472	puuC, aldH	4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]	ko00330  Arginine and proline metabolism	M00136  GABA biosynthesis, prokaryotes, putrescine => GABA
K09473	puuD	gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]	ko00330  Arginine and proline metabolism	M00136  GABA biosynthesis, prokaryotes, putrescine => GABA
K09474	phoN	acid phosphatase (class A) [EC:3.1.3.2]	ko00740  Riboflavin metabolism	
K09475	ompC	outer membrane pore protein C	ko01501  beta-Lactam resistance	
K09476	ompF	outer membrane pore protein F	ko01501  beta-Lactam resistance	M00746  Multidrug resistance, repression of porin OmpF
K09477	citT	citrate:succinate antiporter	ko02020  Two-component system	
K09478	ACADSB	short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]	ko00071  Fatty acid degradation	
K09479	ACADVL	very long chain acyl-CoA dehydrogenase [EC:1.3.8.9]	ko00071  Fatty acid degradation	M00087  beta-Oxidation
K09480	DGD	digalactosyldiacylglycerol synthase [EC:2.4.1.241]	ko00561  Glycerolipid metabolism	
K09481	SEC61B, SBH2	protein transport protein SEC61 subunit beta	ko03060  Protein export	M00401  Sec61 complex
K09482	gatD	glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]	ko00970  Aminoacyl-tRNA biosynthesis	
K09483	quiC	3-dehydroshikimate dehydratase [EC:4.2.1.118]	ko00400  Phenylalanine, tyrosine and tryptophan biosynthesis	
K09484	QUIB, qa-3	quinate dehydrogenase [EC:1.1.1.24]	ko00400  Phenylalanine, tyrosine and tryptophan biosynthesis	
K09485	HSP110	heat shock protein 110kDa	ko04141  Protein processing in endoplasmic reticulum	
K09486	HYOU1	hypoxia up-regulated 1	ko04141  Protein processing in endoplasmic reticulum	
K09487	HSP90B, TRA1	heat shock protein 90kDa beta	ko04141  Protein processing in endoplasmic reticulum	
K09488	TRAP1, HSP75	TNF receptor-associated protein 1		
K09489	HSPA4	heat shock 70kDa protein 4	ko04530  Tight junction	
K09490	HSPA5, BIP	heat shock 70kDa protein 5	ko03060  Protein export	
K09491	STCH	stress 70 protein chaperone microsome-associated 60kDa protein		
K09492	MKKS	McKusick-Kaufman syndrome protein		
K09493	CCT1, TCP1	T-complex protein 1 subunit alpha		
K09494	CCT2	T-complex protein 1 subunit beta		
K09495	CCT3, TRIC5	T-complex protein 1 subunit gamma		
K09496	CCT4	T-complex protein 1 subunit delta		
K09497	CCT5	T-complex protein 1 subunit epsilon		
K09498	CCT6	T-complex protein 1 subunit zeta		
K09499	CCT7	T-complex protein 1 subunit eta		
K09500	CCT8	T-complex protein 1 subunit theta		
K09501	SERPINH1, HSP47	serpin peptidase inhibitor, clade H, member 1		
K09502	DNAJA1	DnaJ homolog subfamily A member 1	ko04141  Protein processing in endoplasmic reticulum	
K09503	DNAJA2	DnaJ homolog subfamily A member 2	ko04141  Protein processing in endoplasmic reticulum	
K09504	DNAJA3	DnaJ homolog subfamily A member 3	ko05203  Viral carcinogenesis	
K09505	DNAJA4	DnaJ homolog subfamily A member 4		
K09506	DNAJA5	DnaJ homolog subfamily A member 5		
K09507	DNAJB1	DnaJ homolog subfamily B member 1	ko04141  Protein processing in endoplasmic reticulum	
K09508	DNAJB2	DnaJ homolog subfamily B member 2	ko04141  Protein processing in endoplasmic reticulum	
K09509	DNAJB3	DnaJ homolog subfamily B member 3		
K09510	DNAJB4	DnaJ homolog subfamily B member 4		
K09511	DNAJB5	DnaJ homolog subfamily B member 5		
K09512	DNAJB6	DnaJ homolog subfamily B member 6		
K09513	DNAJB7	DnaJ homolog subfamily B member 7		
K09514	DNAJB8	DnaJ homolog subfamily B member 8		
K09515	DNAJB9	DnaJ homolog subfamily B member 9		
K09516	RETSAT	all-trans-retinol 13,14-reductase [EC:1.3.99.23]	ko00830  Retinol metabolism	
K09517	DNAJB11	DnaJ homolog subfamily B member 11	ko04141  Protein processing in endoplasmic reticulum	
K09518	DNAJB12	DnaJ homolog subfamily B member 12	ko04141  Protein processing in endoplasmic reticulum	
K09519	DNAJB13	DnaJ homolog subfamily B member 13		
K09520	DNAJB14	DnaJ homolog subfamily B member 14		
K09521	DNAJC1	DnaJ homolog subfamily C member 1	ko04141  Protein processing in endoplasmic reticulum	
K09522	DNAJC2	DnaJ homolog subfamily C member 2		
K09523	DNAJC3	DnaJ homolog subfamily C member 3	ko04141  Protein processing in endoplasmic reticulum	
K09524	DNAJC4	DnaJ homolog subfamily C member 4		
K09525	DNAJC5	DnaJ homolog subfamily C member 5	ko04141  Protein processing in endoplasmic reticulum	
K09526	DNAJC6	DnaJ homolog subfamily C member 6	ko04144  Endocytosis	
K09527	DNAJC7	DnaJ homolog subfamily C member 7		
K09528	DNAJC8	DnaJ homolog subfamily C member 8		
K09529	DNAJC9	DnaJ homolog subfamily C member 9		
K09530	DNAJC10	DnaJ homolog subfamily C member 10	ko04141  Protein processing in endoplasmic reticulum	
K09531	DNAJC11	DnaJ homolog subfamily C member 11		
K09532	DNAJC12	DnaJ homolog subfamily C member 12		
K09533	DNAJC13	DnaJ homolog subfamily C member 13		
K09534	DNAJC14	DnaJ homolog subfamily C member 14		
K09535	DNAJC15	DnaJ homolog subfamily C member 15		
K09536	DNAJC16	DnaJ homolog subfamily C member 16		
K09537	DNAJC17	DnaJ homolog subfamily C member 17		
K09538	DNAJC18	DnaJ homolog subfamily C member 18		
K09539	DNAJC19	DnaJ homolog subfamily C member 19		
K09540	SEC63, DNAJC23	translocation protein SEC63	ko03060  Protein export	
K09541	CRYAA	crystallin, alpha A	ko04141  Protein processing in endoplasmic reticulum	
K09542	CRYAB	crystallin, alpha B	ko04141  Protein processing in endoplasmic reticulum	
K09543	HSPB2	heat shock protein beta-2	ko05169  Epstein-Barr virus infection	
K09545	HSPB6	heat shock protein beta-6		
K09547	HSPB9	heat shock protein beta-9		
K09548	PFDN1	prefoldin subunit 1		
K09549	PFDN2	prefoldin subunit 2		
K09550	PFDN4	prefoldin subunit 4		
K09551	CLGN	calmegin		
K09552	SPG7	spastic paraplegia 7 [EC:3.4.24.-]		
K09553	STIP1	stress-induced-phosphoprotein 1	ko05020  Prion diseases	
